company_name,ISIN,bond_types,bond_destination,coupon_rate,maturity_date,bond_currency
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.5%,7apr2028, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.875%,7apr2032, EUR
Holcim Ltd,XS2332687040,Senior Secured,International bonds,2.375%,9apr2025, EUR
Akzo Nobel,XS2332687040,Senior Unsecured,International bonds,1.625%,14apr2030, EUR
Exor NV,XS2332687040,Senior Unsecured,International bonds,2.25%,29apr2030, EUR
ASML Holding,XS2332687040,Senior Unsecured,International bonds,0.625%,7may2029, EUR
Schlumberger,XS2332687040,Senior Unsecured,International bonds,1.375%,28oct2026, EUR
Schlumberger,XS2332687040,Senior Unsecured,International bonds,2%,6may2032, EUR
Eurofins Scientific,XS2332687040,Senior Unsecured,International bonds,3.75%,17jul2026, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.25%,7may2033, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.75%,7may2040, EUR
Swisscom,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.375%,14nov2028, EUR
CRH,XS2332687040,Senior Unsecured,International bonds,1.625%,5may2030, EUR
Nestle S.A.,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,12nov2024, EUR (1645D)
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,0.125%,12nov2027, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,0.375%,12may2032, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,0.5%,11may2024, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.25%,11nov2032, EUR
Compagnie Financiere Richemont,XS2332687040,Senior Unsecured,International bonds,0.75%,26may2028, EUR
Compagnie Financiere Richemont,XS2332687040,Senior Unsecured,International bonds,1.125%,26may2032, EUR
CPI Property Group,XS2332687040,Senior Unsecured,International bonds,2.75%,12may2026, EUR
Achmea BV,XS2332687040,Senior Unsecured,International bonds,1.5%,26may2027, EUR
Reckitt Benckiser Group,XS2332687040,Senior Unsecured,International bonds,0.375%,19may2026, EUR
Reckitt Benckiser Group,XS2332687040,Senior Unsecured,International bonds,0.75%,19may2030, EUR
Mohawk Industries,XS2332687040,Senior Unsecured,International bonds,1.75%,12jun2027, EUR
Compagnie Financiere Richemont,XS2332687040,Senior Unsecured,International bonds,1.625%,26may2040, EUR
Stellantis,XS2332687040,Senior Unsecured,International bonds,3.375%,7jul2023, EUR
Stellantis,XS2332687040,Senior Unsecured,International bonds,3.875%,5jan2026, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,1.375%,9jun2026, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,1.625%,9jun2030, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,2.375%,9jun2040, EUR
Alliander,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.375%,10jun2030, EUR
SIG Combibloc Group AG,XS2332687040,Senior Unsecured,International bonds,1.875%,18jun2023, EUR
SIG Combibloc Group AG,XS2332687040,Senior Unsecured,International bonds,2.125%,18jun2025, EUR
Enexis Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.625%,17jun2032, EUR
Eustream,XS2332687040,Senior Unsecured,International bonds,1.625%,25jun2027, EUR
Digital Realty Trust Inc,XS2332687040,Senior Unsecured,International bonds,1.25%,1feb2031, EUR
Czech Gas Networks Investments,XS2332687040,Senior Unsecured,International bonds,1%,16jul2027, EUR
Viatris,XS2332687040,Senior Unsecured,International bonds,0.816%,23jun2022, EUR
Viatris,XS2332687040,Senior Unsecured,International bonds,0.816%,23jun2022, EUR
DSM,XS2332687040,Senior Unsecured,International bonds,0.25%,23jun2028, EUR
DSM,XS2332687040,Senior Unsecured,International bonds,0.625%,23jun2032, EUR
Viatris,XS2332687040,Senior Unsecured,International bonds,1.362%,23jun2027, EUR
Viatris,XS2332687040,Senior Unsecured,International bonds,1.908%,23jun2032, EUR
SES,XS2332687040,Senior Unsecured,International bonds,2%,2jul2028, EUR
Wolters Kluwer,XS2332687040,Senior Unsecured,International bonds,0.75%,3jul2030, EUR
ISS Global,XS2332687040,Senior Unsecured,International bonds,1.25%,7jul2025, EUR
Stellantis,XS2332687040,Senior Unsecured,International bonds,4.5%,7jul2028, EUR
NEPI Rockcastle,XS2332687040,"Green bonds, Senior Unsecured",International bonds,3.375%,14jul2027, EUR
Naspers,XS2332687040,Senior Unsecured,International bonds,1.539%,3aug2028, EUR
Naspers,XS2332687040,Senior Unsecured,International bonds,2.031%,3aug2032, EUR
Heimstaden Bostad,XS2332687040,Senior Unsecured,International bonds,1.375%,3mar2027, EUR
Royal Schiphol Group,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.375%,8sep2027, EUR
Royal Schiphol Group,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.875%,8sep2032, EUR
Akelius Residential Property,XS2332687040,Senior Unsecured,International bonds,1%,17jan2028, EUR
Koninklijke KPN,XS2332687040,Senior Unsecured,International bonds,0.875%,14dec2032, EUR
Bevco Lux,XS2332687040,Senior Unsecured,International bonds,1.5%,16sep2027, EUR
Digital Realty Trust Inc,XS2332687040,"Senior Unsecured, Floating rate",International bonds,FRN,23sep2022, EUR
Digital Realty Trust Inc,XS2332687040,Senior Unsecured,International bonds,1%,15jan2032, EUR
Mondelez International,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,22sep2026, EUR (2191D)
Mondelez International,XS2332687040,Senior Unsecured,International bonds,0.375%,22sep2029, EUR
Scandinavian Tobacco,XS2332687040,Senior Unsecured,International bonds,1.375%,24sep2025, EUR
CTP B.V.,XS2332687040,Senior Unsecured,International bonds,2.125%,1oct2025, EUR
Diageo,XS2332687040,Senior Secured,International bonds,0.125%,28sep2028, EUR
Global Switch Holdings,XS2332687040,Senior Unsecured,International bonds,1.375%,7oct2030, EUR
Akelius Residential Property,XS2332687040,Senior Secured,International bonds,1.125%,11jan2029, EUR
Holcim Ltd,XS2332687040,Senior Secured,International bonds,0.5%,23apr2031, EUR
Tennet Holding,XS2332687040,Senior Unsecured,International bonds,0.125%,30nov2032, EUR
Tennet Holding,XS2332687040,Senior Unsecured,International bonds,0.5%,30nov2040, EUR
Nestle S.A.,XS2332687040,"Zero-coupon bonds, Senior Secured",International bonds,0%,3dec2025, EUR (1826D)
Nestle S.A.,XS2332687040,"Zero-coupon bonds, Senior Secured",International bonds,0%,3mar2033, EUR (4473D)
Nestle S.A.,XS2332687040,Senior Secured,International bonds,0.375%,3dec2040, EUR
CTP B.V.,XS2332687040,Senior Unsecured,International bonds,0.625%,27nov2023, EUR
CNH Industrial,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,1apr2024, EUR (1217D)
BP PLC,XS2332687040,Senior Unsecured,International bonds,0.933%,4dec2040, EUR
Aroundtown,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,16jul2026, EUR (2038D)
Digital Realty Trust Inc,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.625%,15jul2031, EUR
Grand City Properties,XS2332687040,Senior Unsecured,International bonds,0.125%,11jan2028, EUR
Exor NV,XS2332687040,Senior Unsecured,International bonds,0.875%,19jan2031, EUR
Heimstaden Bostad,XS2332687040,"Senior Unsecured, Floating rate",International bonds,FRN,12jan2023, EUR
ABB,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,19jan2030, EUR (3287D)
Holcim Ltd,XS2332687040,Senior Unsecured,International bonds,0.125%,19jul2027, EUR
Holcim Ltd,XS2332687040,Senior Unsecured,International bonds,0.625%,19jan2033, EUR
Wizz Air Holdings,XS2332687040,Senior Unsecured,International bonds,1.35%,19jan2024, EUR
CPI Property Group,XS2332687040,Senior Unsecured,International bonds,1.5%,27jan2031, EUR
Sagax,XS2332687040,Senior Unsecured,International bonds,0.75%,26jan2028, EUR
TE Connectivity,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,16feb2029, EUR (2922D)
Akelius Residential Property,XS2332687040,Senior Unsecured,International bonds,0.75%,22feb2030, EUR
CTP B.V.,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.75%,18feb2027, EUR
H&M Finance,XS2332687040,"Senior Unsecured, Floating rate",International bonds,0.25%,25aug2029, EUR
W.P. Carey,XS2332687040,Senior Unsecured,International bonds,0.95%,1jun2030, EUR
EasyJet,XS2332687040,Senior Unsecured,International bonds,1.875%,3mar2028, EUR
Paccar Financial Europe B.V.,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,1mar2026, EUR (1826D)
DSV PANALPINA A/S,XS2332687040,Senior Unsecured,International bonds,0.5%,3mar2031, EUR
Citycon Oyj,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.625%,12mar2028, EUR
Simon Property Group L.P.,XS2332687040,Senior Unsecured,International bonds,1.125%,19mar2033, EUR
Koninklijke Ahold Delhaize,XS2332687040,Senior Unsecured,International bonds,0.375%,18mar2030, EUR
Imperial Brands,XS2332687040,Senior Unsecured,International bonds,1.75%,18mar2033, EUR
Czech Gas Networks Investments,XS2332687040,Senior Unsecured,International bonds,0.875%,31mar2031, EUR
Wolters Kluwer,XS2332687040,Senior Unsecured,International bonds,0.25%,30mar2028, EUR
Stellantis,XS2332687040,Senior Unsecured,International bonds,0.625%,30mar2027, EUR
London Stock Exchange Group,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,6apr2025, EUR (1461D)
London Stock Exchange Group,XS2332687040,Senior Unsecured,International bonds,0.25%,6apr2028, EUR
London Stock Exchange Group,XS2332687040,Senior Unsecured,International bonds,0.75%,6apr2033, EUR
Holcim Ltd,XS2332687040,Senior Unsecured,International bonds,0.625%,6apr2030, EUR
Enexis Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.375%,14apr2033, EUR
Redes Energeticas Nacionais (REN),XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.5%,16apr2029, EUR
SGS S.A.,XS2332687040,Senior Unsecured,International bonds,0.125%,21apr2027, EUR
Danfoss,XS2332687040,Senior Unsecured,International bonds,0.125%,28apr2026, EUR
Danfoss,XS2332687040,Senior Unsecured,International bonds,0.375%,28oct2028, EUR
Danfoss,XS2332687040,Senior Unsecured,International bonds,0.75%,28apr2031, EUR
Royal Schiphol Group,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,22apr2033, EUR (4383D)
Royal Schiphol Group,XS2332687040,Senior Unsecured,International bonds,0.75%,22apr2033, EUR
EWE,XS2332687040,,International bonds,5.25%,16jul2021, EUR
Daimler AG,XS2332687040,,International bonds,1.875%,8jul2024, EUR
Metro AG,XS2332687040,,International bonds,1.375%,28oct2021, EUR
SAP SE,XS2332687040,,International bonds,1.125%,20feb2023, EUR
SAP SE,XS2332687040,,International bonds,1.75%,22feb2027, EUR
SAP SE,XS2332687040,,International bonds,1%,1apr2025, EUR
Deutsche Borse,XS2332687040,,International bonds,1.625%,8oct2025, EUR
Daimler AG,XS2332687040,,International bonds,1.40%,12jan2024, EUR
Daimler AG,XS2332687040,,International bonds,0.75%,11may2023, EUR
Daimler AG,XS2332687040,,International bonds,1.375%,11may2028, EUR
Vonovia Finance BV,XS2332687040,,International bonds,0.875%,10jun2022, EUR
Vonovia Finance BV,XS2332687040,,International bonds,1.5%,10jun2026, EUR
Evonik Finance B.V.,XS2332687040,,International bonds,0.375%,7sep2024, EUR
Evonik Finance B.V.,XS2332687040,,International bonds,0.75%,7sep2028, EUR
BASF,XS2332687040,Senior Unsecured,International bonds,0.75%,10nov2026, EUR
Vonovia Finance BV,XS2332687040,Senior Unsecured,International bonds,1.25%,6dec2024, EUR
Vonovia Finance BV,XS2332687040,,International bonds,2.25%,15dec2023, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,0.25%,11may2022, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,1%,11nov2025, EUR
Vonovia SE,XS2332687040,Senior Unsecured,International bonds,0.875%,3jul2023, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,0.25%,9aug2021, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,0.875%,9apr2024, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,1.5%,9feb2027, EUR
Vonovia SE,XS2332687040,,International bonds,0.75%,25jan2022, EUR
Vonovia SE,XS2332687040,,International bonds,1.75%,25jan2027, EUR
Daimler AG,XS2332687040,Floating rate,International bonds,FRN,11may2022, EUR
Vonovia SE,XS2332687040,Senior Unsecured,International bonds,1.125%,8sep2025, EUR
Daimler International Finance B.V.,XS2332687040,Senior Unsecured,International bonds,0.2%,13sep2021, EUR
Allianz Finance II B.V.,XS2332687040,,International bonds,0.25%,6jun2017, EUR
Allianz Finance II B.V.,XS2332687040,,International bonds,0.875%,6dec2027, EUR
Daimler International Finance B.V.,XS2332687040,"Senior Unsecured, Floating rate",International bonds,FRN,11jan2023, EUR
Vonovia Finance BV,XS2332687040,,International bonds,0.75%,15jan2024, EUR
Vonovia Finance BV,XS2332687040,,International bonds,1.5%,14jan2028, EUR
Vonovia SE,XS2332687040,"Foreign bonds, Floating rate",International bonds,FRN,22dec2022, EUR
Vonovia SE,XS2332687040,Senior Unsecured,International bonds,1.5%,22mar2026, EUR
Vonovia Finance BV,XS2332687040,Senior Unsecured,International bonds,2.125%,22mar2030, EUR
Vonovia Finance BV,XS2332687040,,International bonds,2.75%,22mar2038, EUR
Allianz Finance II B.V.,XS2332687040,,International bonds,3.5%,14feb2022, EUR
Allianz Finance II B.V.,XS2332687040,,International bonds,3%,13mar2028, EUR
Vonovia SE,XS2332687040,,International bonds,3.625%,8oct2021, EUR
Daimler AG,XS2332687040,,International bonds,2.375%,12sep2022, EUR
K+S Group,XS2332687040,,International bonds,3%,20jun2022, EUR
Daimler AG,XS2332687040,,International bonds,2.25%,24jan2022, EUR
Daimler AG,XS2332687040,,International bonds,2.375%,8mar2023, EUR
Linde,XS2332687040,,International bonds,2%,18apr2023, EUR
BASF,XS2332687040,,International bonds,2%,5dec2022, EUR
Deutsche Boerse AG,XS2332687040,,International bonds,2.375%,5oct2022, EUR
Daimler AG,XS2332687040,,International bonds,2%,25jun2021, EUR
Siemens Financieringsmaatschappij N.V. (SFM),XS2332687040,,International bonds,2.875%,10mar2028, EUR
Vonovia SE,XS2332687040,,International bonds,2.125%,9jul2022, EUR
Vonovia Finance BV,XS2332687040,,International bonds,1.5%,31mar2025, EUR
LEG Immobilien AG,XS2332687040,Senior Unsecured,International bonds,0.875%,28nov2027, EUR
LEG Immobilien AG,XS2332687040,Senior Unsecured,International bonds,1.625%,28nov2034, EUR
Vonovia Finance BV,XS2332687040,,International bonds,1%,28jan2041, EUR
BASF,XS2332687040,,International bonds,0.101%,5jun2023, EUR
BASF,XS2332687040,Green bonds,International bonds,0.25%,5jun2027, EUR
Deutsche Wohnen,XS2332687040,,International bonds,1%,30apr2025, EUR
Deutsche Wohnen,XS2332687040,,International bonds,1.5%,30apr2030, EUR
Schaeffler,XS2332687040,,International bonds,2.75%,12oct2025, EUR
Daimler AG,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.75%,10sep2030, EUR
Daimler AG,XS2332687040,,International bonds,2.625%,7apr2025, EUR
Daimler AG,XS2332687040,,International bonds,2.375%,22may2030, EUR
Daimler AG,XS2332687040,,International bonds,1.625%,22aug2023, EUR
Daimler AG,XS2332687040,,International bonds,2%,24aug2026, EUR (90)
Allianz Finance II B.V.,XS2332687040,Zero-coupon bonds,International bonds,0%,14jan2025, EUR (1827D)
Allianz Finance II B.V.,XS2332687040,,International bonds,0.500%,14jan2031, EUR
Vonovia Finance BV,XS2332687040,Foreign bonds,International bonds,1.625%,7apr2024, EUR
Vonovia Finance BV,XS2332687040,Foreign bonds,International bonds,2.25%,7apr2030, EUR
Vonovia Finance BV,XS2332687040,,International bonds,0.625%,9jul2026, EUR (31)
Vonovia Finance BV,XS2332687040,,International bonds,1%,9jul2030, EUR (32)
Daimler AG,XS2332687040,,International bonds,1.5%,9mar2026, EUR
BASF,XS2332687040,,International bonds,0.875%,6oct2031, EUR
Daimler AG,XS2332687040,,International bonds,0.85%,28feb2025, EUR
SAP SE,XS2332687040,,International bonds,1%,13mar2026, EUR
SAP SE,XS2332687040,,International bonds,1.375%,13mar2030, EUR
Daimler AG,XS2332687040,,International bonds,1.5%,3jul2029, EUR
Daimler AG,XS2332687040,,International bonds,2.125%,3jul2037, EUR
Daimler AG,XS2332687040,Floating rate,International bonds,FRN,3jul2024, EUR
Daimler AG,XS2332687040,,International bonds,1%,15nov2027, EUR
Hochtief AG,XS2332687040,,International bonds,1.75%,3jul2025, EUR
Deutsche Borse,XS2332687040,,International bonds,1.125%,26mar2028, EUR
Deutsche Telekom,XS2332687040,,International bonds,2.25%,29mar2039, EUR
Vonovia Finance BV,XS2332687040,Senior Unsecured,International bonds,0.5%,14sep2029, EUR
Vonovia Finance BV,XS2332687040,,International bonds,1.125%,14sep2034, EUR
Vonovia Finance BV,XS2332687040,"Foreign bonds, Senior Unsecured",International bonds,0.125%,6apr2023, EUR
Vonovia Finance BV,XS2332687040,"Foreign bonds, Senior Unsecured",International bonds,0.625%,7oct2027, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,0.25%,6nov2023, EUR (72)
Daimler International Finance B.V.,XS2332687040,,International bonds,0.625%,6may2027, EUR
Allianz Finance II B.V.,XS2332687040,,International bonds,0.875%,15jan2026, EUR
Allianz Finance II B.V.,XS2332687040,,International bonds,1.5%,15jan2030, EUR
Vonovia Finance BV,XS2332687040,,International bonds,1.8%,29jun2025, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,0.625%,27feb2023, EUR
Daimler International Finance B.V.,XS2332687040,,International bonds,1.375%,26jun2026, EUR
Daimler AG,XS2332687040,,International bonds,2%,27feb2031, EUR
Deutsche Telekom,XS2332687040,,International bonds,0.875%,25mar2026, EUR
Deutsche Telekom,XS2332687040,,International bonds,1.75%,25mar2031, EUR
SAP SE,XS2332687040,,International bonds,0.25%,10mar2022, EUR
SAP SE,XS2332687040,,International bonds,0.75%,10dec2024, EUR
SAP SE,XS2332687040,,International bonds,1.25%,10mar2028, EUR
SAP SE,XS2332687040,,International bonds,1.625%,10mar2031, EUR
Schaeffler,XS2332687040,,International bonds,1.125%,26mar2022, EUR
Schaeffler,XS2332687040,,International bonds,1.875%,26mar2024, EUR
Schaeffler,XS2332687040,,International bonds,2.875%,26mar2027, EUR
Hochtief AG,XS2332687040,,International bonds,0.5%,3sep2027, EUR
Hochtief AG,XS2332687040,,International bonds,1.25%,3sep2031, EUR
Daimler AG,XS2332687040,Zero-coupon bonds,International bonds,0%,8feb2024, EUR (1645D)
Daimler AG,XS2332687040,,International bonds,0.375%,8nov2026, EUR
Daimler AG,XS2332687040,,International bonds,0.75%,8feb2030, EUR
Daimler AG,XS2332687040,,International bonds,1.125%,8aug2034, EUR
Daimler AG,XS2332687040,Senior Unsecured,International bonds,1.125%,6nov2031, EUR
Vonovia SE,XS2332687040,Green bonds,International bonds,0.625%,24mar2031, EUR
Hochtief AG,XS2332687040,,International bonds,0.625%,26apr2029, EUR
Deutsche Borse,XS2332687040,Zero-coupon bonds,International bonds,0%,22feb2026, EUR (1826D)
Deutsche Borse,XS2332687040,,International bonds,0.125%,22feb2031, EUR
Deutsche Wohnen,XS2332687040,Green bonds,International bonds,0.5%,7apr2031, EUR
Deutsche Wohnen,XS2332687040,Green bonds,International bonds,1.3%,7apr2041, EUR
Schaeffler,XS2332687040,,International bonds,3.375%,12oct2028, EUR
EWE,XS2332687040,,International bonds,0.375%,22oct2032, EUR
Vantage Towers,XS2332687040,Zero-coupon bonds,International bonds,0%,31mar2025, EUR (1461D)
Vantage Towers,XS2332687040,,International bonds,0.375%,31mar2027, EUR
Vantage Towers,XS2332687040,,International bonds,0.75%,31mar2030, EUR
Daimler AG,XS2332687040,Green bonds,International bonds,0.75%,11mar2033, EUR
LEG Immobilien AG,XS2332687040,,International bonds,0.875%,30mar2033, EUR
Talanx,XS2332687040,,International bonds,3.125%,13feb2023, EUR
Talanx,XS2332687040,,International bonds,2.5%,23jul2026, EUR
RWE AG,XS2332687040,Senior Unsecured,International bonds,5.750%,14feb2033, EUR
EnBW Energie Baden-Wuerttemberg,XS2332687040,Senior Unsecured,International bonds,4.875%,16jan2025, EUR
E.ON,XS2332687040,,International bonds,5.528%,21feb2023, EUR
RWE AG,XS2332687040,Senior Unsecured,International bonds,6.5%,10aug2021, EUR
EnBW Energie Baden-Wuerttemberg,XS2332687040,Senior Unsecured,International bonds,6.125%,7jul2039, EUR
Deutsche Telekom,XS2332687040,,International bonds,5.375%,27jul2021, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,4.375%,23sep2021, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,4.875%,22apr2025, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,3.75%,9jul2025, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,4.25%,13jul2022, EUR
Deutsche Telekom,XS2332687040,,International bonds,4.5%,28oct2030, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,3.375%,4nov2022, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,3.75%,1jun2021, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,3%,8mar2024, EUR
Deutsche Post,XS2332687040,Senior Unsecured,International bonds,2.95%,27jun2022, EUR
Bertelsmann,XS2332687040,Senior Unsecured,International bonds,2.625%,2aug2022, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,2.75%,24oct2024, EUR
Lanxess AG,XS2332687040,Senior Unsecured,International bonds,2.625%,21nov2022, EUR
Deutsche Bahn,XS2332687040,,International bonds,2%,20feb2023, EUR
Deutsche Post,XS2332687040,Senior Unsecured,International bonds,2.875%,11dec2024, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,3.25%,17jan2028, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,2.375%,24jan2023, EUR
Robert Bosch,XS2332687040,Senior Unsecured,International bonds,1.625%,24may2021, EUR
Robert Bosch,XS2332687040,Senior Unsecured,International bonds,2.625%,24may2028, EUR
Robert Bosch,XS2332687040,,International bonds,2.979%,27may2033, EUR
Vier Gas Transport,XS2332687040,Senior Unsecured,International bonds,2.875%,12jun2025, EUR
Vier Gas Transport,XS2332687040,Senior Unsecured,International bonds,3.125%,10jul2023, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,2.5%,12sep2023, EUR
Deutsche Post,XS2332687040,Senior Unsecured,International bonds,2.75%,9oct2023, EUR
E.ON,XS2332687040,Senior Unsecured,International bonds,3%,17jan2024, EUR
K+S Group,XS2332687040,Senior Unsecured,International bonds,4.125%,6dec2021, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,2.625%,17jan2024, EUR
BASF,XS2332687040,Senior Unsecured,International bonds,2.5%,22jan2024, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,2.75%,19mar2029, EUR
Linde,XS2332687040,,International bonds,1.875%,22may2024, EUR
EnBW Energie Baden-Wuerttemberg,XS2332687040,Senior Unsecured,International bonds,2.5%,4jun2026, EUR
Robert Bosch,XS2332687040,Senior Unsecured,International bonds,1.75%,8jul2024, EUR
Robert Bosch,XS2332687040,,International bonds,2.95%,11jul2039, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,1.25%,5sep2022, EUR
Bertelsmann,XS2332687040,Senior Unsecured,International bonds,1.75%,14oct2024, EUR
Bayer,XS2332687040,Senior Unsecured,International bonds,1.25%,13nov2023, EUR
Volkswagen,XS2332687040,Senior Unsecured,International bonds,0.875%,16jan2023, EUR
Volkswagen,XS2332687040,Senior Unsecured,International bonds,1.625%,16jan2030, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,1%,21jan2025, EUR
Evonik Industries,XS2332687040,Senior Unsecured,International bonds,1%,23jan2023, EUR
Infineon Technologies,XS2332687040,Senior Unsecured,International bonds,1.5%,10mar2022, EUR
Ceconomy,XS2332687040,Senior Unsecured,International bonds,1.5%,19mar2025, EUR
Wuerth,XS2332687040,Senior Unsecured,International bonds,1%,19may2022, EUR
Eurogrid,XS2332687040,Senior Unsecured,International bonds,1.875%,10jun2025, EUR
Merck KGaA,XS2332687040,Senior Unsecured,International bonds,1.375%,1sep2022, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,1.25%,23oct2025, EUR
Eurogrid,XS2332687040,Senior Unsecured,International bonds,1.625%,3nov2023, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,1.625%,6nov2030, EUR
Alstria Office REIT,XS2332687040,,International bonds,2.125%,12apr2023, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,1%,15feb2022, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,0.75%,2mar2026, EUR
Covestro,XS2332687040,Senior Unsecured,International bonds,1.75%,25sep2024, EUR
Covestro,XS2332687040,Senior Unsecured,International bonds,1%,7oct2021, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,1.5%,3apr2028, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,0.625%,3apr2023, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,2.25%,30mar2023, EUR
Deutsche Post,XS2332687040,Senior Unsecured,International bonds,1.25%,1apr2026, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,0.75%,15apr2024, EUR
Eurogrid,XS2332687040,Senior Unsecured,International bonds,1.5%,18apr2028, EUR
Linde plc,XS2332687040,Senior Unsecured,International bonds,1%,20apr2028, EUR
Bertelsmann,XS2332687040,Senior Unsecured,International bonds,1.125%,27apr2026, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,2.25%,3jun2024, EUR
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,0.875%,11jul2031, EUR
Deutsche Bahn,XS2332687040,Zero-coupon bonds,International bonds,0%,19jul2021, EUR (1826D)
Henkel AG & Co. KGaA,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,13sep2021, EUR (1826D)
Deutsche Bahn,XS2332687040,Senior Unsecured,International bonds,0.625%,26sep2028, EUR
Lanxess AG,XS2332687040,Senior Unsecured,International bonds,0.25%,7oct2021, EUR
Lanxess AG,XS2332687040,Senior Unsecured,International bonds,1%,7oct2026, EUR
Linde,XS2332687040,Senior Unsecured,International bonds,0.25%,18jan2022, EUR
Sudzucker,XS2332687040,,International bonds,1.25%,29nov2023, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,1.5%,7feb2025, EUR
Knorr-Bremse,XS2332687040,Senior Unsecured,International bonds,0.5%,8dec2021, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,0.75%,12jul2024, EUR
LEG Immobilien AG,XS2332687040,Senior Unsecured,International bonds,1.25%,23jan2024, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,0.375%,30oct2021, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,1.375%,30jan2027, EUR
Deutsche Telekom,XS2332687040,Senior Unsecured,International bonds,0.875%,30jan2024, EUR
Volkswagen,XS2332687040,Senior Unsecured,International bonds,1.125%,2oct2023, EUR
Volkswagen,XS2332687040,Senior Unsecured,International bonds,1.875%,30mar2027, EUR
BMW,XS2332687040,Senior Unsecured,International bonds,0.875%,3apr2025, EUR
RWE AG,XS2332687040,Senior Unsecured,International bonds,1%,13apr2025, EUR
Hella KGaA,XS2332687040,,International bonds,1%,17may2024, EUR
E.ON,XS2332687040,Senior Unsecured,International bonds,0.875%,22may2024, EUR
