0,bond_types,bond_amounts,issue_info,ISIN_Code,quarter,year
"International bonds: EDP Finance BV, 2.375% 23mar2023, EUR
XS1385395121",Senior Unsecured,"STATUS
Outstanding
AMOUNT
600,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Netherlands
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
EDP Finance B.V. operates as a finance company. It provides loans to EDP Group companies in Portugal and Spain, as well as invests in derivative financial instruments. The company was incorporated in 1999 and is based ...
Show more
Borrower
EDP Finance BV
Full issuer name
EDP Finance BV
Sector
corporate
Industry
Financial institutions
Volume
Placement amount
600,000,000 EUR
Outstanding amount
600,000,000 EUR
Outstanding face value amount
600,000,000 EUR
USD equivalent
724,554,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1385395121,Q2,2017.0
"International bonds: EDP Finance BV, 1.125% 12feb2024, EUR
XS1471646965",Senior Unsecured,"STATUS
Outstanding
AMOUNT
1,000,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Netherlands
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
EDP Finance B.V. operates as a finance company. It provides loans to EDP Group companies in Portugal and Spain, as well as invests in derivative financial instruments. The company was incorporated in 1999 and is based ...
Show more
Borrower
EDP Finance BV
Full issuer name
EDP Finance BV
Sector
corporate
Industry
Financial institutions
Volume
Placement amount
1,000,000,000 EUR
Outstanding amount
1,000,000,000 EUR
Outstanding face value amount
1,000,000,000 EUR
USD equivalent
1,207,590,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1471646965,Q2,2017.0
"International bonds: Energias de Portugal, 1.875% 29sep2023, EUR
XS1558083652",Senior Unsecured,"STATUS
Outstanding
AMOUNT
600,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Portugal
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Borrower
Energias de Portugal
Full issuer name
Energias de Portugal S.A.
Sector
corporate
Industry
Power
SPV / Issuer
EDP Finance BV
Stocks
Energias de Portugal, ordinary share
Energias de Portugal, ordinary share
Energias de Portugal, depositary receipt
Volume
Placement amount
600,000,000 EUR
Outstanding amount
600,000,000 EUR
Outstanding face value amount
600,000,000 EUR
USD equivalent
724,554,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1558083652,Q2,2017.0
"International bonds: Eesti Energia, 4.50% 18nov2020, EUR
XS0235372140",,"STATUS
Matured
AMOUNT
106,338,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Estonia
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Eesti Energia AS is a 100 per cent state-owned vertically integrated public limited company, engaged in power production, transmission, distribution and sales as well as other power-related services. The economic activity is carried out mainly in ...
Show more
Borrower
Eesti Energia
Full issuer name
Eesti Energia AS
Sector
corporate
Industry
Power
Volume
Placement amount
300,000,000 EUR
Outstanding amount
106,338,000 EUR
Nominal
Minimum Settlement Amount
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0235372140,Q2,2017.0
"International bonds: Eesti Energia, 2.384% 22sep2023, EUR
XS1292352843",Senior Unsecured,"STATUS
Outstanding
AMOUNT
500,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Estonia
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Eesti Energia AS is a 100 per cent state-owned vertically integrated public limited company, engaged in power production, transmission, distribution and sales as well as other power-related services. The economic activity is carried out mainly in ...
Show more
Borrower
Eesti Energia
Full issuer name
Eesti Energia AS
Sector
corporate
Industry
Power
Volume
Placement amount
500,000,000 EUR
Outstanding amount
500,000,000 EUR
Outstanding face value amount
500,000,000 EUR
USD equivalent
603,795,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1292352843,Q2,2017.0
"International bonds: Electricite de France (EDF), 5.625% 21feb2033, EUR
XS0162990229",Senior Unsecured,"STATUS
Outstanding
AMOUNT
850,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Borrower
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
850,000,000 EUR
Outstanding amount
850,000,000 EUR
Outstanding face value amount
850,000,000 EUR
USD equivalent
1,026,451,500 USD
Nominal
Minimum Settlement Amount
1,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0162990229,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 4.625% 11sep2024, EUR
FR0010800540",,"STATUS
Outstanding
AMOUNT
2,490,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
2,500,000,000 EUR
Outstanding amount
2,490,000,000 EUR
Outstanding face value amount
2,490,000,000 EUR
USD equivalent
3,006,899,100 USD
Nominal
Nominal
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0010800540,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 4.625% 26apr2030, EUR
FR0010891317",,"STATUS
Outstanding
AMOUNT
1,500,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
1,500,000,000 EUR
Outstanding amount
1,500,000,000 EUR
Outstanding face value amount
1,500,000,000 EUR
USD equivalent
1,811,385,000 USD
Nominal
Nominal
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0010891317,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 4% 12nov2025, EUR
FR0010961540",,"STATUS
Outstanding
AMOUNT
750,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
750,000,000 EUR
Outstanding amount
750,000,000 EUR
Outstanding face value amount
750,000,000 EUR
USD equivalent
905,692,500 USD
Nominal
Nominal
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0010961540,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 4.5% 12nov2040, EUR
FR0010961581",,"STATUS
Outstanding
AMOUNT
750,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
750,000,000 EUR
Outstanding amount
750,000,000 EUR
Outstanding face value amount
750,000,000 EUR
USD equivalent
905,692,500 USD
Nominal
Nominal
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0010961581,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 3.875% 18jan2022, EUR
FR0011182641",,"STATUS
Outstanding
AMOUNT
2,000,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
2,000,000,000 EUR
Outstanding amount
2,000,000,000 EUR
Outstanding face value amount
2,000,000,000 EUR
USD equivalent
2,415,180,000 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0011182641,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 4.125% 25mar2027, EUR
FR0011225143",,"STATUS
Outstanding
AMOUNT
1,000,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
1,000,000,000 EUR
Outstanding amount
1,000,000,000 EUR
Outstanding face value amount
1,000,000,000 EUR
USD equivalent
1,207,590,000 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0011225143,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 2.75% 10mar2023, EUR
FR0011318658",,"STATUS
Outstanding
AMOUNT
2,000,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
2,000,000,000 EUR
Outstanding amount
2,000,000,000 EUR
Outstanding face value amount
2,000,000,000 EUR
USD equivalent
2,415,180,000 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0011318658,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 2.25% 27apr2021, EUR
FR0011637586",Green bonds,"STATUS
Matured
AMOUNT
1,400,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
1,400,000,000 EUR
Outstanding amount
1,400,000,000 EUR
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0011637586,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 1% 13oct2026, EUR
FR0013213295",Green bonds,"STATUS
Outstanding
AMOUNT
1,750,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
1,750,000,000 EUR
Outstanding amount
1,750,000,000 EUR
Outstanding face value amount
1,750,000,000 EUR
USD equivalent
2,113,282,500 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0013213295,Q2,2017.0
"Domestic bonds: Electricite de France (EDF), 1.875% 13oct2036, EUR
FR0013213303",,"STATUS
Outstanding
AMOUNT
750,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Issuer
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
750,000,000 EUR
Outstanding amount
750,000,000 EUR
Outstanding face value amount
750,000,000 EUR
USD equivalent
905,692,500 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",FR0013213303,Q2,2017.0
"International bonds: Electricite de France (EDF), 5% 5feb2018, EUR
XS0342783692",,"STATUS
Matured
AMOUNT
1,500,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Borrower
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
1,500,000,000 EUR
Outstanding amount
1,500,000,000 EUR
Nominal
Minimum Settlement Amount
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
50,000 EUR",XS0342783692,Q2,2017.0
"International bonds: Electricite de France (EDF), 5.375% 29may2020, EUR
XS0367001228",,"STATUS
Early redeemed
AMOUNT
1,200,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Borrower
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
1,200,000,000 EUR
Outstanding amount
1,200,000,000 EUR
Nominal
Minimum Settlement Amount
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
50,000 EUR",XS0367001228,Q2,2017.0
"International bonds: Electricite de France (EDF), 6.25% 25jan2021, EUR
XS0409749206",Senior Unsecured,"STATUS
Matured
AMOUNT
2,000,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
France
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Electricite de France (EDF) produces, transmits, distributes, imports and exports electricity. The Company, using nuclear power, coal and gas, provides electricity for French energy consumers.
Borrower
Electricite de France (EDF)
Full issuer name
Electricite de France
Sector
corporate
Industry
Power
Stocks
Electricite de France (EDF), ordinary share
Electricite de France (EDF), depositary receipt
Volume
Placement amount
2,000,000,000 EUR
Outstanding amount
2,000,000,000 EUR
Nominal
Minimum Settlement Amount
50,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
50,000 EUR",XS0409749206,Q2,2017.0
"International bonds: Elering, 4.625% 12jul2018, EUR
XS0645947457",,"STATUS
Matured
AMOUNT
225,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Estonia
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Transmission System Operator Elering manages the Estonian electricity system. Elering is responsible for the system’s operation and ensures the supply of electricity to consumers.
Borrower
Elering
Full issuer name
Elering AS
Sector
corporate
Industry
Power
Volume
Placement amount
225,000,000 EUR
Outstanding amount
225,000,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0645947457,Q2,2017.0
"Domestic bonds: Elia, 1.375% 27may2024, EUR
BE0002239086",,"STATUS
Outstanding
AMOUNT
500,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Belgium
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...
Show more
Issuer
Elia
Full issuer name
Elia System Operator SA
Sector
corporate
Industry
Power
Stocks
Elia, ordinary share
Volume
Placement amount
500,000,000 EUR
Outstanding amount
500,000,000 EUR
Outstanding face value amount
500,000,000 EUR
USD equivalent
603,795,000 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",BE0002239086,Q2,2017.0
"Domestic bonds: Elia, 1.375% 7apr2027, EUR
BE0002276450",,"STATUS
Outstanding
AMOUNT
250,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Belgium
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...
Show more
Issuer
Elia
Full issuer name
Elia System Operator SA
Sector
corporate
Industry
Power
Stocks
Elia, ordinary share
Volume
Placement amount
250,000,000 EUR
Outstanding amount
250,000,000 EUR
Outstanding face value amount
250,000,000 EUR
USD equivalent
301,897,500 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",BE0002276450,Q2,2017.0
"Domestic bonds: Elia, 3% 7apr2029, EUR
BE0002466416",,"STATUS
Outstanding
AMOUNT
350,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Belgium
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...
Show more
Issuer
Elia
Full issuer name
Elia System Operator SA
Sector
corporate
Industry
Power
Stocks
Elia, ordinary share
Volume
Placement amount
350,000,000 EUR
Outstanding amount
350,000,000 EUR
Outstanding face value amount
350,000,000 EUR
USD equivalent
422,656,500 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",BE0002466416,Q2,2017.0
"Domestic bonds: Elia, 3.25% 4apr2028, EUR
BE0002432079",,"STATUS
Outstanding
AMOUNT
550,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Belgium
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...
Show more
Issuer
Elia
Full issuer name
Elia System Operator SA
Sector
corporate
Industry
Power
Stocks
Elia, ordinary share
Volume
Placement amount
550,000,000 EUR
Outstanding amount
550,000,000 EUR
Outstanding face value amount
550,000,000 EUR
USD equivalent
664,174,500 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",BE0002432079,Q2,2017.0
"Domestic bonds: Elia, 3.5% 4apr2033, EUR
BE0002433085",,"STATUS
Outstanding
AMOUNT
200,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Belgium
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...
Show more
Issuer
Elia
Full issuer name
Elia System Operator SA
Sector
corporate
Industry
Power
Stocks
Elia, ordinary share
Volume
Placement amount
200,000,000 EUR
Outstanding amount
200,000,000 EUR
Outstanding face value amount
200,000,000 EUR
USD equivalent
241,518,000 USD
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",BE0002433085,Q2,2017.0
"Domestic bonds: Elia, 5.25% 13may2019, EUR
BE0119550466",,"STATUS
Matured
AMOUNT
500,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Belgium
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...
Show more
Issuer
Elia
Full issuer name
Elia System Operator SA
Sector
corporate
Industry
Power
Stocks
Elia, ordinary share
Volume
Placement amount
500,000,000 EUR
Outstanding amount
500,000,000 EUR
Nominal
Nominal
1,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",BE0119550466,Q2,2017.0
"International bonds: Elisa, 2.25% 4oct2019, EUR
XS0836360254",,"STATUS
Matured
AMOUNT
179,998,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Finland
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elisa Oyj operates as a telecommunications, information and communications technology and online service company in Finland.
Borrower
Elisa
Full issuer name
Elisa Oyj
Sector
corporate
Industry
Communication
Stocks
Elisa, ordinary share
Volume
Placement amount
300,000,000 EUR
Outstanding amount
179,998,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0836360254,Q2,2017.0
"International bonds: Elisa, 2.75% 22jan2021, EUR
XS0973806861",,"STATUS
Matured
AMOUNT
173,964,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Finland
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elisa Oyj operates as a telecommunications, information and communications technology and online service company in Finland.
Borrower
Elisa
Full issuer name
Elisa Oyj
Sector
corporate
Industry
Communication
Stocks
Elisa, ordinary share
Volume
Placement amount
300,000,000 EUR
Outstanding amount
173,964,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0973806861,Q2,2017.0
"International bonds: Elisa, 0.875% 17mar2024, EUR
XS1578886258",,"STATUS
Outstanding
AMOUNT
300,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Finland
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Elisa Oyj operates as a telecommunications, information and communications technology and online service company in Finland.
Borrower
Elisa
Full issuer name
Elisa Oyj
Sector
corporate
Industry
Communication
Stocks
Elisa, ordinary share
Volume
Placement amount
300,000,000 EUR
Outstanding amount
300,000,000 EUR
Outstanding face value amount
300,000,000 EUR
USD equivalent
362,277,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1578886258,Q2,2017.0
"International bonds: Enagas S.A., 2.5% 11apr2022, EUR
XS1052843908",Senior Unsecured,"STATUS
Outstanding
AMOUNT
750,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Spain
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Enagás is the Technical Manager of the Spanish Gas System and the main carrier of natural gas in Spain. It is also certified as independent TSO European Union, which homologates the company to gas transmission network ...
Show more
Borrower
Enagas S.A.
Full issuer name
Enagas S.A.
Sector
corporate
Industry
Public utilities
SPV / Issuer
Enagas Financiaciones
Stocks
Enagas S.A., ordinary share
Enagas S.A., depositary receipt
Volume
Placement amount
750,000,000 EUR
Outstanding amount
750,000,000 EUR
Outstanding face value amount
750,000,000 EUR
USD equivalent
905,692,500 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
100,000 EUR",XS1052843908,Q2,2017.0
"International bonds: Enagas S.A., 1.25% 6feb2025, EUR
XS1177459531",Senior Unsecured,"STATUS
Outstanding
AMOUNT
600,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Spain
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Enagás is the Technical Manager of the Spanish Gas System and the main carrier of natural gas in Spain. It is also certified as independent TSO European Union, which homologates the company to gas transmission network ...
Show more
Borrower
Enagas S.A.
Full issuer name
Enagas S.A.
Sector
corporate
Industry
Public utilities
SPV / Issuer
Enagas Financiaciones
Guarantor
Enagas S.A.
Stocks
Enagas S.A., ordinary share
Enagas S.A., depositary receipt
Volume
Placement amount
600,000,000 EUR
Outstanding amount
600,000,000 EUR
Outstanding face value amount
600,000,000 EUR
USD equivalent
724,554,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
100,000 EUR",XS1177459531,Q2,2017.0
"International bonds: Enagas S.A., 1% 25mar2023, EUR
XS1203859415",,"STATUS
Outstanding
AMOUNT
400,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Spain
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Enagás is the Technical Manager of the Spanish Gas System and the main carrier of natural gas in Spain. It is also certified as independent TSO European Union, which homologates the company to gas transmission network ...
Show more
Borrower
Enagas S.A.
Full issuer name
Enagas S.A.
Sector
corporate
Industry
Public utilities
SPV / Issuer
Enagas Financiaciones
Stocks
Enagas S.A., ordinary share
Enagas S.A., depositary receipt
Volume
Placement amount
400,000,000 EUR
Outstanding amount
400,000,000 EUR
Outstanding face value amount
400,000,000 EUR
USD equivalent
483,036,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
100,000 EUR",XS1203859415,Q2,2017.0
